"","STATEFP","COUNTYFP","TRACTCE","POPULATION","LATITUDE","LONGITUDE"
"1600",4,13,82207,2394,33.400648,-112.285508
"1601",4,13,82208,2891,33.412512,-112.326556
"1602",4,13,82209,2840,33.431599,-112.296132
"1603",4,13,82210,4633,33.42533,-112.299139
"1604",4,13,82211,4823,33.430414,-112.316873
"1605",4,13,83000,6545,33.451294,-112.254907
"1606",4,13,92305,3667,33.575135,-112.197731
"1607",4,13,92306,5893,33.574676,-112.17733
"1608",4,13,92307,5847,33.560159,-112.1778
"1609",4,13,92308,6612,33.57459,-112.159319
"1610",4,13,92309,5212,33.560673,-112.160892
"1611",4,13,92311,2876,33.561083,-112.188464
"1612",4,13,92312,5001,33.561862,-112.19687
"1613",4,13,92401,4045,33.547392,-112.164231
"1614",4,13,92402,3369,33.545533,-112.155522
"1615",4,13,92500,4935,33.5457,-112.17587
"1616",4,13,92600,3177,33.544051,-112.193101
"1617",4,13,92705,3702,33.542102,-112.210628
"1618",4,13,92708,2056,33.558309,-112.265314
"1619",4,13,92709,4130,33.559126,-112.246646
"1620",4,13,92710,4269,33.530264,-112.246337
"1621",4,13,92711,3120,33.542005,-112.227888
"1622",4,13,92712,4905,33.532805,-112.22951
"1623",4,13,92713,5027,33.516491,-112.228033
"1624",4,13,92715,4037,33.520232,-112.210329
"1625",4,13,92716,3908,33.512864,-112.211652
"1626",4,13,92717,4870,33.534742,-112.21023
"1627",4,13,92718,3791,33.527445,-112.209208
"1628",4,13,92719,4277,33.512542,-112.27923
"1629",4,13,92720,4407,33.534575,-112.268996
"1630",4,13,92721,2801,33.54438,-112.24555
"1631",4,13,92723,4114,33.559474,-112.296883
"1632",4,13,92724,3472,33.558203,-112.282925
"1633",4,13,92801,4756,33.534646,-112.194806
"1634",4,13,92802,5217,33.52794,-112.195128
"1635",4,13,92900,2866,33.532424,-112.178169
"1636",4,13,93001,4841,33.534308,-112.159638
"1637",4,13,93002,4082,33.526921,-112.159924
"1638",4,13,93101,4547,33.519986,-112.157288
"1639",4,13,93104,4385,33.514762,-112.181259
"1640",4,13,93105,5242,33.52086,-112.193748
"1641",4,13,93106,4068,33.513409,-112.193655
"1642",4,13,93200,3355,33.560943,-112.207197
"1643",4,13,103205,2652,33.60419,-111.969476
"1644",4,13,103206,2521,33.603826,-111.952383
"1645",4,13,103207,2459,33.605361,-111.935842
"1646",4,13,103208,3927,33.591768,-111.987614
"1647",4,13,103209,5353,33.586663,-111.963214
"1648",4,13,103210,6044,33.606783,-111.988268
"1649",4,13,103211,4395,33.618951,-111.98748
"1650",4,13,103212,4245,33.618965,-111.968847
"1651",4,13,103214,3852,33.618314,-111.951752
"1652",4,13,103215,2779,33.633409,-111.985196
"1653",4,13,103216,5192,33.633559,-111.970032
"1654",4,13,103217,6295,33.634279,-111.95264
"1655",4,13,103219,3012,33.633136,-111.936042
"1656",4,13,103220,2994,33.617424,-111.935473
"1657",4,13,103302,6246,33.619305,-112.003473
"1658",4,13,103303,3475,33.63397,-112.004814
"1659",4,13,103304,4674,33.633301,-112.01667
"1660",4,13,103305,3092,33.636835,-112.025444
"1661",4,13,103306,3619,33.630022,-112.024117
"1662",4,13,103400,4656,33.605623,-112.003246
"1663",4,13,103501,3107,33.61962,-112.021469
"1664",4,13,103502,5914,33.604081,-112.02321
"1665",4,13,103604,4098,33.633391,-112.085925
"1666",4,13,103605,5967,33.618073,-112.078908
"1667",4,13,103606,4089,33.633495,-112.039644
"1668",4,13,103607,4496,33.618185,-112.039799
"1669",4,13,103608,3587,33.62953,-112.109431
"1670",4,13,103609,5280,33.616605,-112.105814
"1671",4,13,103611,5121,33.627699,-112.05772
"1672",4,13,103612,4762,33.631202,-112.07288
"1673",4,13,103614,2998,33.60575,-112.087083
"1674",4,13,103615,4748,33.586698,-112.094074
"1675",4,13,103701,4700,33.604941,-112.045608
"1676",4,13,103702,3056,33.587033,-112.057037
"1677",4,13,103900,5827,33.602922,-112.106581
"1678",4,13,104000,6725,33.603416,-112.12677
"1679",4,13,104100,6567,33.618207,-112.124431
"1680",4,13,104202,5131,33.617416,-112.141301
"1681",4,13,104203,6211,33.58835,-112.144194
"1682",4,13,104204,3230,33.591426,-112.157424
"1683",4,13,104205,5156,33.575801,-112.132513
"1684",4,13,104206,3813,33.571814,-112.143076
"1685",4,13,104207,4240,33.631574,-112.128095
"1686",4,13,104212,6174,33.60375,-112.143147
"1687",4,13,104214,2312,33.629698,-112.177399
"1688",4,13,104215,4026,33.631827,-112.194033
"1689",4,13,104216,4771,33.619956,-112.192036
"1690",4,13,104217,4882,33.617432,-112.175947
"1691",4,13,104218,3941,33.61509,-112.1622
"1692",4,13,104219,2982,33.600738,-112.160566
"1693",4,13,104221,5864,33.589097,-112.176409
"1694",4,13,104222,5915,33.589093,-112.194646
"1695",4,13,104223,1857,33.602864,-112.194262
"1696",4,13,104224,5898,33.604938,-112.175417
"1697",4,13,104225,3699,33.633439,-112.15968
"1698",4,13,104226,4373,33.632981,-112.141857
"1699",4,13,104227,2059,33.585044,-112.163905
"1700",4,13,104301,3300,33.589565,-112.128682
"1701",4,13,104302,3209,33.589677,-112.119988
"1702",4,13,104401,5017,33.592026,-112.107418
"1703",4,13,104402,2538,33.569668,-112.10638
"1704",4,13,104501,3697,33.5722,-112.091265
"1705",4,13,104502,5107,33.578287,-112.08983
"1706",4,13,104600,4253,33.573727,-112.072387
"1707",4,13,104701,2474,33.57761,-112.060642
"1708",4,13,104702,4441,33.573828,-112.053506
"1709",4,13,104801,3619,33.578248,-112.029968
"1710",4,13,104802,5688,33.589539,-112.024045
"1711",4,13,104900,4003,33.5903,-112.003554
"1712",4,13,105002,2574,33.521311,-111.944962
"1713",4,13,105003,4549,33.567044,-111.95124
"1714",4,13,105004,3114,33.545825,-111.953132
"1715",4,13,105101,4417,33.57389,-111.999596
"1716",4,13,105102,4165,33.544688,-112.034836
"1717",4,13,105103,3017,33.534101,-111.990717
"1718",4,13,105200,5819,33.560001,-112.056633
"1719",4,13,105300,4995,33.560421,-112.073149
"1720",4,13,105400,3603,33.559994,-112.092036
"1721",4,13,105501,2355,33.561122,-112.113408
"1722",4,13,105502,1891,33.563911,-112.103691
"1723",4,13,105503,3279,33.557532,-112.10252
"1724",4,13,105601,3791,33.560497,-112.121561
"1725",4,13,105602,5943,33.560239,-112.129933
"1726",4,13,105701,3426,33.56069,-112.147541
"1727",4,13,105702,3775,33.560305,-112.138941
"1728",4,13,105800,6298,33.545555,-112.143039
"1729",4,13,105900,4956,33.545116,-112.125624
"1730",4,13,106001,1671,33.545594,-112.114629
"1731",4,13,106002,2248,33.549327,-112.105716
"1732",4,13,106003,3175,33.542111,-112.105431
"1733",4,13,106100,5282,33.544153,-112.092514
"1734",4,13,106200,3285,33.545714,-112.07389
"1735",4,13,106300,5093,33.545837,-112.056447
"1736",4,13,106400,2732,33.531293,-112.042407
"1737",4,13,106501,2877,33.531234,-112.060611
"1738",4,13,106502,3542,33.529885,-112.052334
"1739",4,13,106600,3607,33.531108,-112.07376
"1740",4,13,106701,3961,33.535141,-112.096188
"1741",4,13,106702,1213,33.534157,-112.087252
"1742",4,13,106703,2029,33.527424,-112.092263
"1743",4,13,106801,3941,33.531504,-112.1148
"1744",4,13,106802,3248,33.530528,-112.10586
"1745",4,13,106900,7077,33.531419,-112.125903
"1746",4,13,107000,7123,33.530924,-112.142816
"1747",4,13,107101,4262,33.520284,-112.142052
"1748",4,13,107102,5197,33.513036,-112.143239
"1749",4,13,107201,4301,33.513209,-112.1244
"1750",4,13,107202,4928,33.520133,-112.125854
"1751",4,13,107300,6202,33.516841,-112.10836
"1752",4,13,107400,6572,33.515252,-112.09231
"1753",4,13,107500,3337,33.515504,-112.074737
"1754",4,13,107601,2800,33.516954,-112.061013
"1755",4,13,107602,2680,33.515572,-112.051959
"1756",4,13,107700,3797,33.516093,-112.041242
"1757",4,13,107800,2408,33.518582,-112.019883
"1758",4,13,107900,3701,33.514424,-111.981289
"1759",4,13,108000,3467,33.495886,-111.958449
"1760",4,13,108100,1850,33.504432,-111.98222
"1761",4,13,108200,3158,33.50011,-111.988775
"1762",4,13,108301,3405,33.508537,-112.00414
"1763",4,13,108302,2700,33.499032,-112.004278
"1764",4,13,108400,4888,33.500768,-112.022822
"1765",4,13,108501,2250,33.500883,-112.043634
"1766",4,13,108502,3529,33.501277,-112.034467
"1767",4,13,108601,2679,33.49808,-112.059606
"1768",4,13,108602,4530,33.50428,-112.055169
"1769",4,13,108802,1819,33.50647,-112.075479
"1770",4,13,108901,2508,33.498158,-112.08944
"1771",4,13,108902,3858,33.504906,-112.091387
"1772",4,13,109001,4146,33.501332,-112.114996
"1773",4,13,109002,4563,33.505636,-112.106608
"1774",4,13,109003,5474,33.499014,-112.107409
"1775",4,13,109101,3283,33.506403,-112.124084
"1776",4,13,109102,5299,33.498557,-112.126034
"1777",4,13,109200,4096,33.504112,-112.139626
"1778",4,13,109300,4670,33.501507,-112.164365
"1779",4,13,109400,8290,33.501929,-112.178813
"1780",4,13,109500,4867,33.503729,-112.195715
"1781",4,13,109601,4723,33.501357,-112.233454
"1782",4,13,109602,5719,33.49883,-112.21329
"1783",4,13,109603,4450,33.501857,-112.225171
"1784",4,13,109604,3814,33.505771,-112.208944
"1785",4,13,109701,7467,33.489313,-112.208
"1786",4,13,109702,5053,33.486706,-112.233328
"1787",4,13,109703,2742,33.487762,-112.214427
